striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
Salman Butt,ODI,63,2932,2186,2866,59,1709,274,7,37.05,76.27,59.63,9.8
N Koncharoenkai,T20I,103,2420,2183,2355,75,1102,248,0,29.11,92.7,46.79,10.53
B Sai Sudharsan,IPL,50,1529,2178,1472,45,425,221,71,48.4,147.96,28.87,19.84
N Pooran,T20I,96,1694,2177,1615,86,656,146,141,25.31,134.8,40.62,17.77
MP Stoinis,IPL,105,1544,2176,1479,76,497,173,115,28.63,147.13,33.6,19.47
DJ Mitchell,Test,34,4078,2175,4058,50,2894,209,41,43.5,53.6,71.32,6.16
R Dravid,IPL,82,1918,2174,1882,77,780,269,28,28.23,115.52,41.45,15.78
TA Blundell,Test,43,4077,2173,4072,66,2968,264,16,32.92,53.36,72.89,6.88
A Flintoff,ODI,74,2414,2168,2377,61,1271,213,56,35.54,91.21,53.47,11.32
Nigar Sultana,T20I,101,2403,2167,2329,79,1030,210,20,27.43,93.04,44.22,9.88
MR Marsh,T20I,78,1593,2163,1528,67,584,189,111,32.28,141.56,38.22,19.63
KL Rahul,T20I,66,1599,2149,1544,59,529,181,96,36.42,139.18,34.26,17.94
BB McCullum,T20I,70,1629,2145,1576,58,619,199,91,36.98,136.1,39.28,18.4
JO Holder,ODI,107,2431,2144,2395,86,1177,156,64,24.93,89.52,49.14,9.19
DS Airee,T20I,81,1572,2143,1534,65,483,157,89,32.97,139.7,31.49,16.04
Theertha Satish,T20I,85,2039,2142,1926,57,778,257,8,37.58,111.21,40.39,13.76
SP Fleming,ODI,66,3036,2133,2932,62,1893,259,30,34.4,72.75,64.56,9.86
MD Patel,ODI,66,2682,2132,2614,65,1335,173,30,32.8,81.56,51.07,7.77
KS Williamson,IPL,76,1734,2132,1697,59,583,187,64,36.14,125.63,34.35,14.79
H Klaasen,ODI,55,1839,2131,1816,49,764,199,72,43.49,117.35,42.07,14.92
V Sibanda,ODI,97,3467,2125,3374,90,2277,235,25,23.61,62.98,67.49,7.71
MG Erasmus,ODI,63,2822,2121,2767,64,1563,170,47,33.14,76.65,56.49,7.84
KOA Powell,Test,44,4160,2113,4152,82,3111,279,16,25.77,50.89,74.93,7.11
Babar Hayat,T20I,90,1695,2112,1652,83,666,129,126,25.45,127.85,40.31,15.44
BRM Taylor,Test,30,3658,2111,3653,60,2542,228,21,35.18,57.79,69.59,6.82
MP O'Dowd,ODI,63,2904,2111,2816,61,1660,208,36,34.61,74.96,58.95,8.66
ME Trescothick,ODI,63,2584,2109,2527,59,1467,280,13,35.75,83.46,58.05,11.59
