bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
Asmavia Iqbal,60,1754,1658.0,67,948,98,1,292.3,5.67,24.75,54.05,26.18
IKEG Artawan,73,1181,1334.0,67,485,39,5,196.8,6.78,19.91,41.07,17.63
Ishtiaq Ahmad,41,886,1000.0,67,430,46,8,147.7,6.77,14.93,48.53,13.22
E Rukiriza,60,1106,1232.0,67,503,35,1,184.3,6.68,18.39,45.48,16.51
C Bosch,42,1608,1664.0,67,866,40,3,268.0,6.21,24.84,53.86,24.0
D Maisuria,32,667,609.0,67,365,6,0,111.2,5.48,9.09,54.72,9.96
Noor Ahmad,55,1199,1620.0,67,419,57,5,199.8,8.11,24.18,34.95,17.9
B Evans,45,1435,1488.0,67,731,31,13,239.2,6.22,22.21,50.94,21.42
RP Burl,92,1530,1801.0,67,613,49,1,255.0,7.06,26.88,40.07,22.84
T van der Gugten,57,1341,1335.0,67,694,37,2,223.5,5.97,19.93,51.75,20.01
Aamir Kaleem,55,1339,1257.0,66,676,13,1,223.2,5.63,19.05,50.49,20.29
CT Tremlett,27,3719,2149.0,66,2686,32,59,619.8,3.47,32.56,72.22,56.35
Sohag Gazi,38,4278,2620.0,66,2789,27,0,713.0,3.67,39.7,65.19,64.82
K Ndlovu,56,1407,1173.0,66,833,58,10,234.5,5.0,17.77,59.2,21.32
A Reddy,58,1507,1713.0,66,614,39,6,251.2,6.82,25.95,40.74,22.83
DT Tiripano,60,4000,2736.0,66,2624,71,38,666.7,4.1,41.45,65.6,60.61
B Shikongo,63,1492,1581.0,66,765,65,7,248.7,6.36,23.95,51.27,22.61
Saim Ayub,82,1598,1809.0,65,664,27,3,266.3,6.79,27.83,41.55,24.58
RA Mair,68,2014,1941.0,65,1041,83,11,335.7,5.78,29.86,51.69,30.98
Gulsan Jha,69,1619,1739.0,65,788,85,6,269.8,6.44,26.75,48.67,24.91
MR Gillespie,40,2287,1976.0,65,1401,33,52,381.2,5.18,30.4,61.26,35.18
MC Henriques,86,1822,1995.0,65,809,38,2,303.7,6.57,30.69,44.4,28.03
M Wai Siu,57,1070,854.0,65,652,77,2,178.3,4.79,13.14,60.93,16.46
H Thaker,64,1801,1507.0,65,931,9,0,300.2,5.02,23.18,51.69,27.71
Ali Naseer,50,1364,1507.0,64,652,25,5,227.3,6.63,23.55,47.8,21.31
S Chaturongrattana,51,962,735.0,64,533,17,1,160.3,4.58,11.48,55.41,15.03
Mohammad Nadeem,81,1614,1788.0,64,720,38,3,269.0,6.65,27.94,44.61,25.22
J Maguire,63,1699,1548.0,64,933,73,2,283.2,5.47,24.19,54.91,26.55
JA Diergaardt,62,1058,982.0,64,526,61,9,176.3,5.57,15.34,49.72,16.53
A Ikuzwe,53,977,791.0,64,566,52,1,162.8,4.86,12.36,57.93,15.27
SR Magar,54,1034,819.0,64,520,34,3,172.3,4.75,12.8,50.29,16.16
D Olivier,18,2419,1556.0,64,1742,11,13,403.2,3.86,24.31,72.01,37.8
S Thakor,51,967,892.0,64,504,31,1,161.2,5.53,13.94,52.12,15.11
LN Oluoch,56,1000,1193.0,64,488,62,6,166.7,7.16,18.64,48.8,15.62
SA Jumbe,57,1000,1277.0,63,425,39,11,166.7,7.66,20.27,42.5,15.87
JA Richardson,41,1895,1779.0,63,1093,40,8,315.8,5.63,28.24,57.68,30.08
EN Lynch,58,1376,1122.0,63,727,38,8,229.3,4.89,17.81,52.83,21.84
SI Mahmood,36,2411,2030.0,63,1487,61,42,401.8,5.05,32.22,61.68,38.27
D Gough,41,2138,1593.0,63,1357,61,38,356.3,4.47,25.29,63.47,33.94
P Marange,59,1547,1129.0,63,918,68,1,257.8,4.38,17.92,59.34,24.56
KP Meiyappan,46,1520,1481.0,63,710,26,0,253.3,5.85,23.51,46.71,24.13
IK Gamantika,58,1042,1023.0,63,462,26,3,173.7,5.89,16.24,44.34,16.54
RM Farrell,46,1670,1151.0,63,1017,32,2,278.3,4.14,18.27,60.9,26.51
S Nadeem,72,1887,2057.0,62,804,25,14,314.5,6.54,33.18,42.61,30.44
I Udana,62,1680,2119.0,62,646,76,2,280.0,7.57,34.18,38.45,27.1
B Ward,40,976,938.0,62,421,9,0,162.7,5.77,15.13,43.14,15.74
J Miyaji,39,787,810.0,62,423,43,18,131.2,6.18,13.06,53.75,12.69
JDF Vandersay,49,2084,2006.0,62,928,23,3,347.3,5.78,32.35,44.53,33.61
TU Deshpande,53,1104,1827.0,62,407,82,7,184.0,9.93,29.47,36.87,17.81
AR Cusack,53,1451,1409.0,62,725,43,3,241.8,5.83,22.73,49.97,23.4
Marufa Akter,70,1869,1631.0,62,1104,73,3,311.5,5.24,26.31,59.07,30.15
Muhammad Nadir,54,1234,1076.0,62,654,25,6,205.7,5.23,17.35,53.0,19.9
Sufiyan Muqeem,38,930,1032.0,62,411,19,3,155.0,6.66,16.65,44.19,15.0
GD Phillips,72,2776,2191.0,62,1487,17,2,462.7,4.74,35.34,53.57,44.77
YM Nkanya,46,921,799.0,62,476,14,0,153.5,5.21,12.89,51.68,14.85
KV Morea,39,1172,1091.0,61,608,39,12,195.3,5.59,17.89,51.88,19.21
RC Belbashi,68,1210,893.0,61,657,26,1,201.7,4.43,14.64,54.3,19.84
CA Henry,99,2276,2128.0,61,1255,96,5,379.3,5.61,34.89,55.14,37.31
SW Bates,99,2117,1922.0,61,1034,46,9,352.8,5.45,31.51,48.84,34.7
I Nakisuuyi,52,1020,837.0,61,539,42,0,170.0,4.92,13.72,52.84,16.72
S Jimmy,40,971,704.0,61,585,23,1,161.8,4.35,11.54,60.25,15.92
N Sibanda,73,1810,1491.0,61,1081,94,5,301.7,4.94,24.44,59.72,29.67
EAJ Richardson,57,1196,1195.0,61,533,22,6,199.3,5.99,19.59,44.57,19.61
VJ Kingma,51,1701,1639.0,61,999,80,17,283.5,5.78,26.87,58.73,27.89
